,file_name,WasThereText?,IsThereGrey,SentenceWithGrey,IsThereUnpublished,SentenceWithUnpublished,IsThereNonTraditional,IsThereNonTraditionalLIT,GIST,
197,2021.0_A systematic review and meta-analysis of victimisation and mental health prevalence among LGBTQ+ young people with experiences of self-harm and suicide.pdf,NO,NA,NA,NA,NA,NA,NA,3,
198,2021.0_Evaluating the impact of attempts to correct health misinformation on social media: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
199,2020.0_Commentary: false-positive effect in the radin double-slit experiment on observer consciousness as determined with the advanced meta-experimental protocol.pdf,NO,NA,NA,NA,NA,NA,NA,3,
200,2018.0_Inducing self-explanation: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
201,2019.0_Sensory processing sensitivity and its association with personality traits and affect: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
202,2021.0_Genome-wide meta-analysis identifies 127 open-angle glaucoma loci with consistent effect across ancestries.pdf,NO,NA,NA,NA,NA,NA,NA,3,
203,2022.0_Traditional Chinese Medicine Body Constitutions as Predictors for Depression: A Systematic Review and Meta-Analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
204,2021.0_Effects of Chinese mind-body exercises on executive function in middle-aged and older adults: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
205,"2018.0_Issues in solving the problem of effect size heterogeneity in meta-analytic structural equation modeling: A commentary and simulation study on Yu, Downes, Carter Â.pdf",YES,NO,NA,NO,NA,NO,NO,3,
206,2018.0_Treatment effect on recidivism for juveniles who have sexually offended: A multilevel meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
207,2021.0_Art therapy alleviates the levels of depression and blood glucose in diabetic patients: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
208,2020.0_Physical activity and sense of coherence: a meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
209,2019.0_Systematic review and meta-analysis of maintenance of physical activity behaviour change in cancer survivors.pdf,NO,NA,NA,NA,NA,NA,NA,3,
210,2022.0_Â of motor-cognitive interventions on selected gait and balance outcomes in older adults: A systematic review and meta-analysis of randomized controlled trials.pdf,NO,NA,NA,NA,NA,NA,NA,3,
211,2018.0_The effects of shared storybook reading on word learning: A meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
212,2020.0_Relationship between extramarital behavior and HIV: the systematic review and meta-analysis protocol.pdf,YES,YES,"extramarital relationships and contracting HIV/AIDS.  
Method:  This systematic review will be conducted using Pubmed, PsycINFO, MEDLINE, EMBASE, Scopus, ProQuest, 
Web of Science, and Google Scholar, as well as the grey literature with no restriction regarding the language. All types of 
studies investigated the relationship between extramarital relations and HIV/AIDS will be included. The population of the 
study will be considered the people more than 18 years old with extramarital relationships in their lives at the time of research 
or before. Two independent reviewers will perform the study selection and data extraction. The assessment of the risk of bias ",NO,NA,NO,NO,1,
213,2021.0_Compassion?focused therapies for self?esteem: A systematic review and meta?analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
214,2021.0_The effectiveness of the collaborative assessment and management of suicidality (cams) compared to alternative treatment conditions: A meta?analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
215,2020.0_The relationship between personality traits and marital satisfaction: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
216,2020.0_Gender differences in academic motivation: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
217,"2023.0_Â of Neurofeedback, Neuropsychology, and Phonological Awareness Methods in Improving Dyslexia Symptoms of Students: A Network Meta-analysis.pdf",NO,NA,NA,NA,NA,NA,NA,3,
218,"2018_A simple, principled approach to combining evidence from meta-analysis and high-quality replications.pdf",NO,NA,NA,NA,NA,NA,NA,3,
219,2023.0_Emotions in self-regulated learning: A critical literature review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
220,"2018.0_Procrastination and multidimensional perfectionism: A meta-analysis of main, mediating, and moderating effects.pdf",NO,NA,NA,NA,NA,NA,NA,3,
221,2020.0_Seeking the Âbeauty centerÂ in the brain: A meta-analysis of fMRI studies of beautiful human faces and visual art.pdf,NO,NA,NA,NA,NA,NA,NA,3,
222,2021.0_Prevalence of symptoms of anxiety and depression in patients with inflammatory bowel disease: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
223,2022.0_Comparison of within-and between-series effect estimates in the meta-analysis of multiple baseline studies.pdf,YES,NO,NA,NO,NA,NO,NO,3,
224,"2019.0_A meta-analysis of gender differences in character strengths and age, nation, and measure as moderators.pdf",YES,NO,NA,NO,NA,NO,NO,3,
225,2019.0_A meta-study of qualitative research on the junior-to-senior transition in sport.pdf,YES,YES,"contain qualitative data specifically pertaining to factors associated with the junior-to-senior 
transition in sport.  These inclusion criteria ensu red that the study did not limit the types of 
research to be included - journal articles, dissert ations, and grey literature could all be 
included.  We excluded studies if they did not meet  this inclusion criteria.  If data from a 
study were published in multiple ways, then studies  were reported with journal articles taking 
preference to dissertations.  However, if it was fo und that dissertations contained additional ",NO,NA,NO,NO,1,
226,2021.0_Effect of sugar-sweetened beverages on oral health: a systematic review and meta-analysis.pdf,YES,YES,"reviews. A systematic search was conducted up to 17th October 2017 in MEDLINE (Ovid), 
EMBASE (Ovid), Cochrane Library (Wiley), SciELO (Web of Science) and LILACS (VHL). 
HMIC (Ovid) and Open Grey were also included to search for grey literature to minimise the 
risk of publication bias. Supplementary table S1 provides an example search strategy. 5 
 Terms related to SSB (for example, soft drink$) and oral health (for example, dental 
caries OR dental erosion) were used. Terms were generated based on words commonly used ",NO,NA,NO,NO,1,
227,2023.0_Parent to offspring fear transmission via modeling in early life: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
228,2022.0_Non-affective psychotic disorders and risk of dementia: a systematic review and meta-analysis.pdf,YES,YES,"Search strategy
Four databases, Medline, Embase, PsycInfo, and CINAHL plus,
were searched for published literature and two additional data-bases, Open Grey and Ethos, were searched for grey literatureup to 29th of June 2021. We re-ran the search using Medlineuntil March 2022 to check for recent papers. The search termsused were broadly related to non-affective psychotic disorders,dementia, and type of study (see online SupplementaryTable S2 for details of search terms used). Full-texts were searchedfor all identified studies, and two authors independently screenedall full-text articles for relevant studies. Disagreements werediscussed with a third reviewer. Reference lists of all relevant stud-
ies reaching the full-text phase were hand searched to ensure norelevant studies were missed.
Selection criteria
We included both prospective and retrospective longitudinal stud-",NO,NA,NO,NO,3,
229,2023.0_Does Professional Development Effectively Support the Implementation of Inclusive Education? A Meta-Analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
230,2022.0_Associations between treatment adherenceÂcompetenceÂintegrity (ACI) and adult psychotherapy outcomes: A systematic review and meta-analysis..pdf,YES,YES,"The present study adhered to contemporary good- practice guidelines on systematic review s of 
quantitative evidence including: the pre -registration and adherence to a review protocol, searches 
across multiple databases including grey literature, backward and forward cita tion searches, risk of bias 
assessments for primary studies , GRADE assessments of the meta -analyses  and the investigation of 
publication bias and sources of heterogeneity. Despite these strengths, the res ults should be seen in 
light of several limitations.   ",YES,"The PRISMA  summary (Moher et al., 2009) is displayed in Figure S5 (Supplementary 
Information).  Electronic database se arches identified 7,098 records after duplicates were removed. A 
further 3 2 records were located  via hand searching and the unpublished literature search .  A total of 
7,130 records were therefore screened by title and abstract ; 6,850 were removed (96.07%). The 
remaining 280 full texts were screened against eligibility criteria; 218 were removed. In total, 62 
individual articles were eligible for inclusion  containing 91 effect size statistics , consisting of 39 ",NO,NO,1,
231,2022.0_Meta-Analysis: Effect of School-Based Health Promotion Strategy on Smoking Habits in Adolescents.pdf,YES,NO,NA,NO,NA,NO,NO,3,
232,2021.0_A meta-analysis of early results to predict vaccine efficacy against Omicron.pdf,YES,NO,NA,NO,NA,NO,NO,3,
233,2022.0_EFFECTIVENESS OF MULTIVITAMIN AND MINERAL SUPPLEMENTATION ON AGGRESSIVE BEHAVIOR: ASystematic REVIEW AND META-ANALYSIS.pdf,YES,NO,NA,NO,NA,NO,NO,3,
234,2021.0_Peri?implant soft tissue phenotype modification and its impact on peri?implant health: a systematic review and network meta?analysis.pdf,YES,YES,"Trials;andLatinAmerican&CaribbeanHealthSciences
Literature (LILACS), Web of Science, and Scopus. For
examining unpublished trials, the grey literature, non-
profit reports, government research or other materials,
were also electronically explored through searching in
ClinicalTrial.govandOpenGrey.61",NO,NA,NO,NO,3,
235,2018.0_Mindfulness-based interventions for teachers: A meta-analysis of the emerging evidence base..pdf,YES,NO,NA,YES,"The potential of publication bias was assessed via visual inspection of a funnel plot and by testing the asymmetry using nonparametric (Begg & Mazumdar, 1994) and regression tests (Egger et al., 1997). Finally, we used the trim and fill method (Duval & Tweedie, 2000) to estimate the number of missing studies and calculate an adjusted effect size. We did not evaluate whether publication status was a moderator of effect size due to the difference in number of published studies and unpublished studies. Results Overview of Included Studies Of the 29 controlled studies included in our review, three studies were unpublished (Bakosh, 2013; James, 2016; Simon et al., 2009). Four studies were published in Spanish and Jenaabadi et al. (2017) was published in Persian. A table containing the descriptive and MINDFULNESS FOR TEACHERS 16 moderator information for the included studies is provided in the supplemental online materials",NO,NO,1,
236,2020.0_Multiple moderator meta-analysis using the R-package Meta-CART.pdf,NO,NA,NA,NA,NA,NA,NA,3,
237,2021.0_Meta-analysis of in vitro and in vivo studies of the biological effects of low-level millimetre waves.pdf,NO,NA,NA,NA,NA,NA,NA,3,
238,2023.0_The meta-analyses of deliberate practice underestimate the effect size because they neglect the core characteristic of individualizationÂAn analysis and Â.pdf,NO,NA,NA,NA,NA,NA,NA,3,
239,2020.0_Â of psychological treatments for depressive symptoms among people living with HIV-AIDS in low-and middle-income countries: A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
240,2019.0_The relationship between self-esteem and social anxiety: A meta-analysis with Chinese students.pdf,YES,NO,NA,NO,NA,NO,NO,3,
241,2020.0_Is cognitive training effective for improving executive functions in preschoolers? A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
242,2019.0_The effect of work-family conflict on job burnout: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
243,"2022.0_Leading from the inside out: a meta-analysis of how, when, and why self-leadership affects individual outcomes.pdf",YES,NO,NA,NO,NA,NO,NO,3,
244,2021.0_How puzzling is the forward premium puzzle? A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
245,2021.0_Prevalence of psychopathy in the general adult population: A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
246,2023.0_Association between anticipated affect and behavioral intention: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
247,2023.0_Systematic review and meta-analysis of stay-play-talk interventions for improving social behaviors of young children.pdf,YES,NO,NA,NA,NA,NA,NA,3,
248,"2020.0_Organizational Justice and Work Satisfaction: Meta Analysis."".pdf",YES,NO,NA,NO,NA,NO,NO,3,
249,2022.0_Rank-order stability of relationship satisfaction: A meta-analysis of longitudinal studies..pdf,YES,NO,NA,NO,NA,NO,NO,3,
250,2019.0_The brain in (willed) action: a meta-analytical comparison of imaging studies on motor intentionality and sense of agency.pdf,NO,NA,NA,NA,NA,NA,NA,3,
251,2020.0_Parent-Adolescent Sexual Communication and Adolescent Sexual Behavior: A Meta-Analysis Review.pdf,YES,NO,NA,NO,NA,NO,NO,3,
252,"2020.0_Nefarious Nausea: A Systematic Review and Meta-analysis of the Risks of Nausea in the Treatment of Major Depressive, Obsessive-Compulsive, and Anxiety Â.pdf",YES,NO,NA,YES,"trials. Three sensitivity analyses were performed to explore 
heterogeneity. The three sensitivity analyses were: isolation of 
unpublished literature, isolation of panic disorder studies, and 
analysis of fixed versus flexible dosing.  
SYSTEMATIC REVIEW AND QUALITY OFEVIDENCE
METHODS :",NO,NO,1,
253,"2021.0_The effects of virtual reality, augmented reality, and mixed reality as training enhancement methods: A meta-analysis.pdf",YES,NO,NA,NO,NA,NO,NO,3,
254,2019.0_Gamification and serious games: A literature meta-analysis and integrative model.pdf,YES,NO,NA,NO,NA,NO,NO,3,
255,2023.0_Gender-based violence and associated factors among high school female students in Ethiopia: Systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
256,2022.0_Effectiveness of youth psychotherapy delivered remotely: A meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
257,2022.0_Promoting handwriting fluency for preschool and elementary-age students: Meta-analysis and meta-synthesis of research from 2000 to 2020.pdf,NO,NA,NA,NA,NA,NA,NA,3,
258,2021.0_Lower extremity reamputation in people with diabetes: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
259,2018.0_An updated meta-analysis of the ego depletion effect.pdf,NO,NA,NA,NA,NA,NA,NA,3,
260,2021.0_Mechanisms of impact of blue spaces on human health: a systematic literature review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
261,2021.0_Nonpharmacological interventions for relapse prevention in unipolar depression: a network meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
262,2021.0_Micronutrient's deficiency in India: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
263,2020.0_The association between psychopathy and delinquency in juveniles: A three-level meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
264,2020.0_Movie smoking and teen smoking behavior: A critical methodological and meta-analytic review..pdf,YES,NO,NA,NO,NA,NO,NO,3,
265,2021.0_The relationship between fears of cancer recurrence and patient gender: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
266,2018.0_The comparative evidence basis for the efficacy of second-generation antidepressants in the treatment of depression in the US: A Bayesian meta-analysis of Food and Â.pdf,YES,NO,NA,NO,NA,NO,NO,3,
267,2020.0_Meta-Analysis: The Effectiveness of Web-Based Health Promotion Interventions on Vegetable Consumption in Children.pdf,YES,NO,NA,NO,NA,NO,NO,3,
268,2021.0_A systematic review and meta-analysis of the good-enough level (GEL) literature..pdf,YES,YES,"across studies tended to be large, few studies provided sufficient statistical informati on for 
meta -analysis. Other limitations specific to the review methodology include the excl usion of 
studies written in languages other than English and the exclusion of grey literature. There 
may therefore be missed findings that could contribute to further analysis of the GEL. 
However, none of the current GEL authors and leaders in the field were aware of further 
missing literature that we could have included, and it was considered important that suc h ",NO,NA,NO,NO,1,
269,2021.0_Effect of different exercise methods on non-alcoholic fatty liver disease: A meta-analysis and meta-regression.pdf,YES,NO,NA,NO,NA,NO,NO,3,
270,2018.0_A Compare the effectiveness of cognitive therapy Based on meta-theoretical models and meta-cognitive therapy on amount pain and Thoughts FusionIn on patients .pdf,YES,NO,NA,NO,NA,NO,NO,3,
271,2018.0_The religious correlates of death anxiety: A systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
272,2021.0_New evidence in the booming field of online mindfulness: an updated meta-analysis of randomized controlled trials.pdf,NO,NA,NA,NA,NA,NA,NA,3,
273,2023.0_The Relationship between self-efficacy and online health information seeking: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
274,2021.0_Caffeine and cognitive functions in sports: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
275,2023.0_Cognitive Profiles of Children with Isolated and Comorbid Learning Difficulties in Reading and Math: a Meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
276,2018_Guidelines for reporting systematic reviews and meta-analyses.pdf,YES,NO,NA,NO,NA,NO,NO,3,
277,2021.0_Network models of posttraumatic stress disorder: A meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
278,"2021.0_Association of alcohol consumption with morbidity and mortality in patients with cardiovascular disease: original data and meta-analysis of 48,423 men and Â.pdf",NO,NA,NA,NA,NA,NA,NA,3,
279,2023.0_A meta?analysis on the psychological and behavioral consequences of nostalgia.pdf,YES,NO,NA,NO,NA,NO,NO,3,
280,2019.0_The 'Flow'of compassion: A meta-analysis of the fears of compassion scales and psychological functioning.pdf,YES,NO,NA,NO,NA,NO,NO,3,
281,2023.0_The Impact of Psychological Skills Training on Performance Enhancement in Athletes: A Meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
282,2023.0_The negative and positive symptoms in people suffering from schizophrenia during the pandemic: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
283,2022.0_The relation between coping style and posttraumatic growth among patients with breast cancer: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
284,2020.0_A meta-analysis of the Âerasing raceÂ effect in the United States and some theoretical considerations.pdf,NO,NA,NA,NA,NA,NA,NA,3,
285,2019.0_A demonstration and evaluation of the use of cross-classified random-effects models for meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
286,2021.0_The bidirectional relationship between vision and cognition: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
287,2019.0_False-positive effect in the Radin double-slit experiment on observer consciousness as determined with the advanced meta-experimental protocol.pdf,NO,NA,NA,NA,NA,NA,NA,3,
288,2021.0_The global prevalence of osteoporosis in the world: a comprehensive systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
289,2022.0_Â moderators in the relationship between maternal childhood adversity and children's emotional and behavioural development: a systematic review and meta-analysis.pdf,YES,YES,"Maternal experiences of childhood adversity can increase the risk of emotional and behav-
ioural problems in their children. This systematic review and meta-analysis provide the firstnarrative and quantitative synthesis of the mediators and moderators involved in the linkbetween maternal childhood adversity and children ’s emotional and behavioural development.
We searched EMBASE, PsycINFO, Medline, Cochrane Library, grey literature and referencelists. Studies published up to February 2021 were included if they explored mediators or mod-erators between maternal childhood adversity and their children ’s emotional and behavioural
development. Data were synthesised narratively and quantitatively by meta-analyticapproaches. The search yielded 781 articles, with 74 full-text articles reviewed, and 41 studies
meeting inclusion criteria. Maternal mental health was a significant individual-level mediator,
while child traumatic experiences and insecure maternal –child attachment were consistent",NO,NA,NO,NO,1,
290,2023.0_Does every study? Implementing ordinal constraint in meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
291,"2018_Does writing system influence the associations between phonological awareness, morphological awareness, and reading? A meta-analysis..pdf",NO,NA,NA,NA,NA,NA,NA,3,
292,2018.0_Placing meta-stable states of consciousness within the predictive coding hierarchy: the deceleration of the accelerated prediction error.pdf,YES,NO,NA,NO,NA,NO,NO,3,
293,2021.0_Body image flexibility and its correlates: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
294,2021.0_A meta-analysis on educational technology in English language teaching.pdf,NO,NA,NA,NA,NA,NA,NA,3,
295,2018.0_Chapter One: A Review on Environmental Kuznets Curve Hypothesis Using Bibliometric and Meta-Analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
296,2023.0_The relationship between fine motor skills and mathematical ability in children: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
297,2021.0_Evidence-based management of hepatocellular carcinoma: systematic review and meta-analysis of randomized controlled trials (2002Â2020).pdf,YES,NO,NA,NO,NA,NO,NO,3,
298,2019.0_Are cyberbullying intervention and prevention programs effective? A systematic and meta-analytical review.pdf,NO,NA,NA,NA,NA,NA,NA,3,
299,2020.0_Effectiveness of contingency management for smoking cessation in substance users: A systematic review and meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
300,2021.0_A meta-analysis on STEM studies in early childhood education.pdf,YES,NO,NA,NO,NA,NO,NO,3,
301,2021.0_The correlation between social support and post-traumatic stress disorder in children and adolescents: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
302,2023.0_Neuro-stimulation in focal epilepsy: A systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
303,2022.0_A Mixed Comparison of Interventions for Kinesiophobia in Individuals With Musculoskeletal Pain: Systematic Review and Network Meta-Analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
304,2018_Training direct care staff working with persons with intellectual disabilities and challenging behaviour: A meta-analytic review study.pdf,YES,NO,NA,NO,NA,NO,NO,3,
305,2021.0_Memory suppression and its deficiency in psychological disorders: A focused meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
306,"2020.0_Birth cohort changes in the subjective well-being of Chinese college students: A cross-temporal meta-analysis, 2002Â2017.pdf",NO,NA,NA,NA,NA,NA,NA,3,
307,2019.0_The relationship between emotional intelligence and the dark triad personality traits: A meta-analytic review.pdf,YES,NO,NA,NO,NA,NO,NO,3,
308,2020.0_Digit ratio (2D: 4D) and congenital adrenal hyperplasia (CAH): Systematic literature review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
309,2019.0_Â hypoxic conditioning to improve body mass loss and cardiometabolic markers in individuals with overweight or obesity: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
310,2019.0_A meta-analysis of factors related to recycling.pdf,YES,NO,NA,NO,NA,NO,NO,3,
311,2019.0_ change techniques associated with changes in postintervention and maintained changes in self-efficacy for physical activity: A systematic review with meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
312,2018.0_Criminal responsibility: Meta?analysis and study space.pdf,YES,NO,NA,NO,NA,NO,NO,3,
313,2021.0_Adverse childhood experiences and maternal anxiety and depression: a meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
314,2021.0_The foreign language effect on decision-making: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
315,2019.0_Meta-analysis of aging effects in mind wandering: Methodological and sociodemographic factors..pdf,NO,NA,NA,NA,NA,NA,NA,3,
316,2022.0_The effectiveness of Promoting Alternative Thinking Strategies program: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
317,2020.0_Infants' and toddlers' physical activity and sedentary time as measured by accelerometry: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
318,2020.0_The limited effect of mindfulness-based interventions on anxiety in children and adolescents: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
319,"2018.0_Social value orientation, expectations, and cooperation in social dilemmas: A metaÂanalysis.pdf",YES,NO,NA,NO,NA,NO,NO,3,
320,2022.0_The effectiveness of remote delivered intervention for loneliness reduction in older adults: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
321,2020.0_Learning ?ctivity as an Effective Way to Develop Meta-Subject and Personal Competencies in Elementary School Students..pdf,YES,NO,NA,NO,NA,NO,NO,3,
322,2018.0_Group?based diet and physical activity weight?loss interventions: a systematic review and meta?analysis of randomised controlled trials.pdf,YES,NO,NA,YES,"description of a delivery m ode in a title or abstract or provided ambiguous descriptions of 
groups. Thus, our search strategy might have failed to identify some relevant studies.  We 
included only published reports of studies, and did not search for unpublished literature.  Our 
compar isons of interventions were based on published study reports, protocols and other 
publically available descriptions of the interventions . We acknowledge, however, that more 
detailed characterisation of intervention content is achieved when descriptions in intervention Review of group -based weight -loss interventions  ",NO,NO,1,
323,2018.0_The effects of psychotherapy for depression on anxiety symptoms: a meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
324,2022.0_Careless responding in crowdsourced alcohol research: A systematic review and meta-analysis of practices and prevalence..pdf,YES,NO,NA,NO,NA,NO,NO,3,
325,2023.0_Dropout from psychological treatment for borderline personality disorder: a multilevel survival meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
326,2019.0_What influences language impairment in bilingual aphasia? A meta-analytic review.pdf,NO,NA,NA,NA,NA,NA,NA,3,
327,2018.0_Multidimensional perfectionism in sport: A meta-analytical review..pdf,YES,NO,NA,NO,NA,NO,NO,3,
328,2020.0_Loneliness as a predictor of suicidal ideation and behaviour: a systematic review and meta-analysis of prospective studies.pdf,YES,NO,NA,NO,NA,NO,NO,3,
329,2020.0_Coordinate based meta-analysis of motor functional imaging in Parkinson's: disease-specific patterns and modulation by dopamine replacement and deep Â.pdf,NO,NA,NA,NA,NA,NA,NA,3,
330,"2020.0_Sex hormone levels in lesbian, bisexual, and heterosexual women: Systematic review and exploratory meta-analysis.pdf",NO,NA,NA,NA,NA,NA,NA,3,
331,2018.0_The perniciousness of perfectionism: A meta?analytic review of the perfectionismÂsuicide relationship.pdf,YES,NO,NA,NO,NA,NO,NO,3,
332,2021.0_A meta-analysis of the association between obesity and COVID-19.pdf,YES,NO,NA,NO,NA,NO,NO,3,
333,2021.0_Ultrasonography indicators for predicting difficult intubation: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
334,2021.0_Mindfulness-based interventions to reduce burnout and stress in physicians: A systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
335,2018.0_Physical activity and health-related quality of life in children and adolescents: A systematic review and meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
336,2020.0_An actual natural setting improves mood better than its virtual counterpart: A meta-analysis of experimental data.pdf,NO,NA,NA,NA,NA,NA,NA,3,
337,"2019.0_A systematic review and meta-analysis of psychological research on conspiracy beliefs: Field characteristics, measurement instruments, and associations with .pdf",NO,NA,NA,NA,NA,NA,NA,3,
338,2022.0_Brain activation differences in lexical-semantics processing in autistic population: A meta-analysis of fMRI studies.pdf,YES,NO,NA,NO,NA,NO,NO,3,
339,2020.0_How effective is peer interaction in facilitating learning? A meta-analysis..pdf,NO,NA,NA,NA,NA,NA,NA,3,
340,2021.0_Re-examining the experiential advantage in consumption: A meta-analysis and review.pdf,YES,NO,NA,YES,"happiness from purchasing experiences compared to mate-
rial possessions. Almost two decades of empirical research
has tested this hypothesis across hundreds of studies andmultiple measures, all with varying degrees of evidence. Inthis research, we revisited the experiential advantage andtested its limitations through a complete meta-analysis ofthe published and unpublished literature. Developing a the-
ory of happiness around psychological needs, we re-FIGURE 5
TESTED MODEL OF THE EXPERIENTIAL ADVANTAGE (CONCEPTUAL REPLICATION DATASET)
870 JOURNAL OF CONSUMER RESEARCHDownloaded from https://academic.oup.com/jcr/article/47/6/855/5906525 by guest on 23 April 2021",NO,NO,1,
341,2018.0_Shedding light on the association between repetitive negative thinking and deficits in cognitive controlA meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
342,2021.0_Preferred place of death in adult cancer patients: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
343,"2022.0_Times are changing, bias isn't: A meta-meta-analysis on publication bias detection practices, prevalence rates, and predictors in industrial-organizational psychology..pdf",YES,NO,NA,NO,NA,NO,NO,3,
344,2021.0_Association between triglyceride-glucose index and hypertension: a meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
345,2021.0_General causality orientations in self-determination theory: Meta-analysis and test of a process model.pdf,YES,NO,NA,NO,NA,NO,NO,3,
346,2022.0_Efficacy and safety-tolerability of antipsychotics in the treatment of adult patients with major depressive disorder: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
347,2022.0_Associations between two conceptualizations of materialism and subjective wellbeing in China: A meta-analysis of studies from 1998 to 2022.pdf,NO,NA,NA,NA,NA,NA,NA,3,
348,2022.0_The Impact of Mindfulness-Based Stress Reduction (MBSR) on Psychological Outcomes and Quality of Life in Patients With Lung Cancer: A Meta-Analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
349,2021.0_Radiological prognostic factors of chronic subdural hematoma recurrence: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
350,2022.0_Smartphone addiction is increasing across the world: A meta-analysis of 24 countries.pdf,YES,NO,NA,NO,NA,NO,NO,3,
351,2019.0_Quality of life after sex reassignment surgery: A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
352,2021.0_What is the prevalence of low health literacy in european union member states? A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
