Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"J Vöhringer, PA Schroeder, M Hütter…","Facilitation of simultaneous control? A meta-analysis of the inhibitory spillover effect.",2022,"Psychological Review","psycnet.apa.org","https://psycnet.apa.org/record/2023-14074-001","https://scholar.google.com/scholar?cites=1072132014609603057&as_sdt=2005&sciodt=0,5&hl=en",394,"2023-07-31 18:46:22","","","","",,,,,3,3.00,1,4,1,"… information with us for the purpose of this meta-analysis. We thank Phillip Trenkler for his help with … Data and scripts for this meta-analysis are available at https://osf.io/uz4qm/. The study …","","https://scholar.google.com/scholar?q=related:8RkhC2P64A4J:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
9,"EA Pascoe, MR Lattanner, LS Richman","Meta-analysis of interpersonal discrimination and health-related behaviors.",2022,"Health Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2022-56233-001","https://scholar.google.com/scholar?cites=3985178904280932241&as_sdt=2005&sciodt=0,5&hl=en",398,"2023-07-31 18:46:22","","","","",,,,,9,9.00,3,3,1,"… As a result, a more comprehensive meta-analytic estimate of this relationship is warranted. The current meta-analysis and syntheses provide a comprehensive quantitative review of the …","https://psycnet.apa.org/manuscript/2022-56233-001.pdf","https://scholar.google.com/scholar?q=related:kZ8LXBkzTjcJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
13,"J Cosso, A von Suchodoletz…","Effects of parental involvement programs on young children's academic and social–emotional outcomes: A meta-analysis.",2022,"… of Family Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2022-68974-001","https://scholar.google.com/scholar?cites=15294036239372208601&as_sdt=2005&sciodt=0,5&hl=en",402,"2023-07-31 18:46:22","","","","",,,,,13,13.00,4,3,1,"… metaanalyses on this topic published since 2000. Expanding upon existing meta-analyses on this topic, the present meta-analysis … meta-analysis is on parental involvement in children,s …","","https://scholar.google.com/scholar?q=related:2Um7re1UP9QJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
21,"NL Schroeder, AC Kucera","Refutation text facilitates learning: A meta-analysis of between-subjects experiments",2022,"Educational Psychology Review","Springer","https://link.springer.com/article/10.1007/s10648-021-09656-z","https://scholar.google.com/scholar?cites=12671921136583997727&as_sdt=2005&sciodt=0,5&hl=en",403,"2023-07-31 18:46:22","HTML","10.1007/s10648-021-09656-z","","",,,,,21,21.00,11,2,1,"… In this meta-analysis, we broadly analyze the work around refutation text to build an understanding of under what conditions and for whom it is an effective instructional strategy. …","https://link.springer.com/article/10.1007/s10648-021-09656-z","https://scholar.google.com/scholar?q=related:H3najyK1268J:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
8,"D Smit, C Miguel, JN Vrijsen, B Groeneweg…","The effectiveness of peer support for individuals with mental illness: systematic review and meta-analysis",2022,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/effectiveness-of-peer-support-for-individuals-with-mental-illness-systematic-review-and-metaanalysis/92E0C2FA17EC13A33193B05CFB8D4179","https://scholar.google.com/scholar?cites=6320392008799496463&as_sdt=2005&sciodt=0,5&hl=en",405,"2023-07-31 18:46:22","","","","",,,,,8,8.00,2,5,1,"… The aim of this systematic review and meta-analysis was to assess the effectiveness of PSIs … included in the systematic review and 28 were meta-analyzed (4152 individuals). Compared …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/92E0C2FA17EC13A33193B05CFB8D4179/S0033291722002422a.pdf/effectiveness_of_peer_support_for_individuals_with_mental_illness_systematic_review_and_metaanalysis.pdf","https://scholar.google.com/scholar?q=related:Dym2jQuLtlcJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
151,"S Shorey, ED Ng, CHJ Wong","Global prevalence of depression and elevated depressive symptoms among adolescents: A systematic review and meta‐analysis",2022,"… Journal of Clinical Psychology","Wiley Online Library","https://bpspsychub.onlinelibrary.wiley.com/doi/abs/10.1111/bjc.12333","https://scholar.google.com/scholar?cites=6780117283901329079&as_sdt=2005&sciodt=0,5&hl=en",412,"2023-07-31 18:46:22","","10.1111/bjc.12333","","",,,,,151,151.00,50,3,1,"… versions of the screening instruments during the meta-analysis. In addition, the process of … may have also affected the quality of this meta-analysis. Since the response rates for many …","","https://scholar.google.com/scholar?q=related:t85sQr_QF14J:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
22,"A Blasco-Belled, C Tejada-Gallardo, M Fatsini-Prats…","Mental health among the general population and healthcare workers during the COVID-19 pandemic: A meta-analysis of well-being and psychological …",2022,"… Psychology","Springer","https://link.springer.com/article/10.1007/s12144-022-02913-6","https://scholar.google.com/scholar?cites=10542751741389404639&as_sdt=2005&sciodt=0,5&hl=en",416,"2023-07-31 18:46:22","HTML","10.1007/s12144-022-02913-6","","",,,,,22,22.00,6,4,1,"… According to this, the goal of the present research is to conduct a systematic review and meta-analysis of the prevalence of mental health following the dual-continua model of mental …","https://link.springer.com/article/10.1007/s12144-022-02913-6","https://scholar.google.com/scholar?q=related:33ml1NlgT5IJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
13,"T Gower, J Pham, EN Jouriles, D Rosenfield…","Cognitive biases in perceptions of posttraumatic growth: A systematic review and meta-analysis",2022,"Clinical Psychology …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272735822000447","https://scholar.google.com/scholar?cites=13262773597869230657&as_sdt=2005&sciodt=0,5&hl=en",419,"2023-07-31 18:46:22","","","","",,,,,13,13.00,3,5,1,"… In the current systematic review and meta-analysis, we aimed to investigate the relation … review and 66 separate effects were coded for meta-analyses. Results indicated that cognitive …","https://www.mapllab.com/s/GowerEtAl2022_CPR.pdf","https://scholar.google.com/scholar?q=related:QcpsbVHWDrgJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
8,"G Chen, J Wang, J Gong, Z Qi, S Fu, G Tang…","Functional and structural brain differences in bipolar disorder: a multimodal meta-analysis of neuroimaging studies",2022,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/functional-and-structural-brain-differences-in-bipolar-disorder-a-multimodal-metaanalysis-of-neuroimaging-studies/C021B9FE5A759B07FBB5B4730DDA1450","https://scholar.google.com/scholar?cites=13585133745304900606&as_sdt=2005&sciodt=0,5&hl=en",431,"2023-07-31 18:46:22","","","","",,,,,8,8.00,1,7,1,"… Hence, we aimed to conduct a whole-brain voxel-wise meta-analysis to explore the most … The findings of this meta-analysis could facilitate further original research and help to further …","","https://scholar.google.com/scholar?q=related:_hMSCyoXiLwJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
17,"C Murillo, TT Vo, S Vansteelandt, LE Harrison…","How do psychologically based interventions for chronic musculoskeletal pain work? A systematic review and meta-analysis of specific moderators and mediators of …",2022,"Clinical psychology …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272735822000459","https://scholar.google.com/scholar?cites=9078075011376924324&as_sdt=2005&sciodt=0,5&hl=en",444,"2023-07-31 18:46:22","","","","",,,,,17,17.00,3,5,1,"… This systematic review and meta-analysis aims to synthetize the evidence of specific … Thirteen mediation studies were included in a meta-analysis, and the rest was narratively …","https://drive.google.com/file/d/1mmB_fvm3LRv6sCx4n7GWn4kNbLBUPEsF/view","https://scholar.google.com/scholar?q=related:pMZ4CSDN-30J:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
19,"JW Park, R Mealy, IJ Saldanha, EB Loucks…","Multilevel resilience resources and cardiovascular disease in the United States: A systematic review and meta-analysis.",2022,"… Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2021-55323-001","https://scholar.google.com/scholar?cites=6672847316789940750&as_sdt=2005&sciodt=0,5&hl=en",445,"2023-07-31 18:46:22","","","","",,,,,19,19.00,4,5,1,"… Objective: This systematic review and meta-analysis aimed to quantify the relationship … , and six of these studies were included in the meta-analyses. Most relevant studies found that …","https://psycnet.apa.org/manuscript/2021-55323-001.pdf","https://scholar.google.com/scholar?q=related:DtKuxUe3mlwJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
17,"T Robinson, MU Ali, B Easterbrook, W Hall…","Risk-thresholds for the association between frequency of cannabis use and the development of psychosis: a systematic review and meta-analysis",2022,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/riskthresholds-for-the-association-between-frequency-of-cannabis-use-and-the-development-of-psychosis-a-systematic-review-and-metaanalysis/4EB34100E58C5C9E1370CAFE83C7F705","https://scholar.google.com/scholar?cites=17905084879622494701&as_sdt=2005&sciodt=0,5&hl=en",446,"2023-07-31 18:46:22","","","","",,,,,17,17.00,3,5,1,"… In this context, the aim of this systematic review and meta-analysis was to determine whether significant risk thresholds exist between different levels of frequency of non-medical …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4EB34100E58C5C9E1370CAFE83C7F705/S0033291722000502a.pdf/riskthresholds_for_the_association_between_frequency_of_cannabis_use_and_the_development_of_psychosis_a_systematic_review_and_metaanalysis.pdf","https://scholar.google.com/scholar?q=related:7dkdM9Wje_gJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
54,"K Bierwiaczonek, AB Gundersen, JR Kunst","The role of conspiracy beliefs for COVID-19 health responses: A meta-analysis",2022,"Current opinion in psychology","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352250X22000653","https://scholar.google.com/scholar?cites=3496786595456637504&as_sdt=2005&sciodt=0,5&hl=en",448,"2023-07-31 18:46:22","HTML","","","",,,,,54,54.00,18,3,1,"… In sum, our meta-analysis shows that conspiracy beliefs predict people's reluctance toward COVID-19 prevention measures, both cross-sectionally and over time. Even though the …","https://www.sciencedirect.com/science/article/pii/S2352250X22000653","https://scholar.google.com/scholar?q=related:QFqKveEUhzAJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
15,"PE Bailey, T Leon, NC Ebner, AA Moustafa…","A meta-analysis of the weight of advice in decision-making",2022,"… Psychology","Springer","https://link.springer.com/article/10.1007/s12144-022-03573-2","https://scholar.google.com/scholar?cites=6089996631815138214&as_sdt=2005&sciodt=0,5&hl=en",449,"2023-07-31 18:46:22","HTML","10.1007/s12144-022-03573-2","","",,,,,15,15.00,3,5,1,"… This meta-analysis on 346 effect sizes from 129 independent datasets (N = 17, 296) assessed the weight of advice in the judge-advisor system paradigm, as well as the influence of …","https://link.springer.com/article/10.1007/s12144-022-03573-2","https://scholar.google.com/scholar?q=related:pquqoqsDhFQJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
23,"CJ Ferguson, LK Kaye, D Branley-Bell…","Like this meta-analysis: Screen media and mental health.",2022,"… Psychology …","psycnet.apa.org","https://psycnet.apa.org/record/2021-98715-001","https://scholar.google.com/scholar?cites=3206798379653285280&as_sdt=2005&sciodt=0,5&hl=en",450,"2023-07-31 18:46:22","","","","",,,,,23,23.00,6,4,1,"… The current meta-analysis included 37 effect sizes from 33 separate studies. To consider the most recent research, all studies analyzed were published between 2015 and 2019. Across …","https://research.edgehill.ac.uk/files/47293592/Like_This_Meta.pdf","https://scholar.google.com/scholar?q=related:oEWIzSLWgCwJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
8,"U Mertens, B Finn, MA Lindner","Effects of computer-based feedback on lower-and higher-order learning outcomes: A network meta-analysis.",2022,"Journal of Educational Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2023-06528-001","https://scholar.google.com/scholar?cites=13486909445063183165&as_sdt=2005&sciodt=0,5&hl=en",457,"2023-07-31 18:46:22","","","","",,,,,8,8.00,3,3,1,"… In contrast to previous metaanalyses on feedback effects, this meta-analysis used a network meta-analytic approach, which enabled us to rank the four most common feedback types …","https://psycnet.apa.org/psycarticles/2023-06528-001.pdf","https://scholar.google.com/scholar?q=related:PQva_q4gK7sJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
25,"KE Venturo-Conerly, OM Fitzpatrick, RL Horn…","Effectiveness of youth psychotherapy delivered remotely: A meta-analysis.",2022,"American …","psycnet.apa.org","https://psycnet.apa.org/journals/amp/77/1/71/","https://scholar.google.com/scholar?cites=16700873804753806616&as_sdt=2005&sciodt=0,5&hl=en",458,"2023-07-31 18:46:22","","","","",,,,,25,25.00,6,4,1,"… Only treatment versus control comparisons were included in this meta-analysis, to avoid … power than other approaches such as multilevel meta-analysis. The robumeta package in R (…","https://weiszlab.fas.harvard.edu/files/jweisz/files/2021_venturo-conerly_et_al._online_advance_effectiveness_of_youth_psychotherapy_delivered_remotely_a_meta-analysis_american_psychologist.pdf","https://scholar.google.com/scholar?q=related:GCX6ij1sxecJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
9,"G Lo Coco, S Gullo, G Albano, A Brugnera…","The alliance-outcome association in group interventions: A multilevel meta-analysis.",2022,"… Clinical Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2022-60834-001","https://scholar.google.com/scholar?cites=739272918428366969&as_sdt=2005&sciodt=0,5&hl=en",459,"2023-07-31 18:46:22","","","","",,,,,9,9.00,2,5,1,"… This meta-analysis provides a comprehensive analysis of the complex role of the alliance in group therapy, suggesting that the alliance with other group members or the group as a …","https://www.researchgate.net/profile/Giorgio-Tasca/publication/360633053_The_alliance-outcome_association_in_group_interventions_A_multilevel_meta-analysis/links/6299fdc7a3fe3e3df859acd9/The-alliance-outcome-association-in-group-interventions-A-multilevel-meta-analysis.pdf","https://scholar.google.com/scholar?q=related:eTj9bs1sQgoJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
13,"M Picó-Pérez, R Vieira…","Multimodal meta-analysis of structural gray matter, neurocognitive and social cognitive fMRI findings in schizophrenia patients",2022,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/multimodal-metaanalysis-of-structural-gray-matter-neurocognitive-and-social-cognitive-fmri-findings-in-schizophrenia-patients/CCD62EAD93175E31E5A94FF9111EB146","https://scholar.google.com/scholar?cites=11742022869179327530&as_sdt=2005&sciodt=0,5&hl=en",466,"2023-07-31 18:46:22","","","","",,,,,13,13.00,4,3,1,"… use (one meta-analysis including studies with 0% of participants under medication, and another one with 100% of participants under medication), illness duration (one meta-analysis for …","https://scholar.archive.org/work/f7qmmv2adrhs3ddfvc2sjnsjza/access/wayback/https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CCD62EAD93175E31E5A94FF9111EB146/S0033291721005523a.pdf/div-class-title-multimodal-meta-analysis-of-structural-gray-matter-neurocognitive-and-social-cognitive-fmri-findings-in-schizophrenia-patients-div.pdf","https://scholar.google.com/scholar?q=related:KmTybZYL9KIJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
30,"S Jahnke, K Abad Borger, A Beelmann","Predictors of political violence outcomes among young people: A systematic review and meta‐analysis",2022,"Political Psychology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pops.12743","https://scholar.google.com/scholar?cites=11868050445708409225&as_sdt=2005&sciodt=0,5&hl=en",476,"2023-07-31 18:46:22","","10.1111/pops.12743","","",,,,,30,30.00,10,3,1,"… The present meta-analysis summarizes the international basis of evidence regarding links between psychologically meaningful risk factors and political violence outcomes among …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pops.12743","https://scholar.google.com/scholar?q=related:ibndMADJs6QJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
19,"M Johannsen, ER Nissen, M Lundorff…","Mediators of acceptance and mindfulness-based therapies for anxiety and depression: A systematic review and meta-analysis",2022,"Clinical psychology …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272735822000411","https://scholar.google.com/scholar?cites=6388486463588913059&as_sdt=2005&sciodt=0,5&hl=en",482,"2023-07-31 18:46:22","","","","",,,,,19,19.00,5,4,1,"… However, it should be noted that the categorization into primary versus secondary mediators in the present meta-analysis cannot account for the interrelatedness and overlap between …","","https://scholar.google.com/scholar?q=related:o8-bSpd2qFgJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
18,"O Desmedt, M Van Den Houte…","How does heartbeat counting task performance relate to theoretically-relevant mental health outcomes? A meta-analysis",2022,"… : Psychology","online.ucpress.edu","https://online.ucpress.edu/collabra/article-abstract/8/1/33271/121638","https://scholar.google.com/scholar?cites=9109742785963483154&as_sdt=2005&sciodt=0,5&hl=en",484,"2023-07-31 18:46:22","","","","",,,,,18,18.00,6,3,1,"… The results of this meta-analysis suggest a clear answer to this question for the (most studied) outcomes we considered here: some theoretically-expected associations were not reliably …","https://www.researchgate.net/profile/Olivier-Desmedt/publication/359758110_How_Does_Heartbeat_Counting_Task_Performance_Relate_to_Theoretically-Relevant_Mental_Health_Outcomes_A_Meta-Analysis/links/624d48224f88c3119ce2bacf/How-Does-Heartbeat-Counting-Task-Performance-Relate-to-Theoretically-Relevant-Mental-Health-Outcomes-A-Meta-Analysis.pdf","https://scholar.google.com/scholar?q=related:EuCHYMxObH4J:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
14,"J Roloff, J Kirstges, S Grund, U Klusmann","How strongly is personality associated with burnout among teachers? A meta-analysis",2022,"Educational Psychology …","Springer","https://link.springer.com/article/10.1007/s10648-022-09672-7","https://scholar.google.com/scholar?cites=7804951827152747084&as_sdt=2005&sciodt=0,5&hl=en",489,"2023-07-31 18:46:22","HTML","10.1007/s10648-022-09672-7","","",,,,,14,14.00,4,4,1,"… in the quantitative meta-analysis. These … meta-analysis, eight were also included in the systematic review of Cramer and Binder (2015), and two were also included in the meta-analysis …","https://link.springer.com/article/10.1007/s10648-022-09672-7","https://scholar.google.com/scholar?q=related:TLp5mlXCUGwJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
5,"S Vieira, X Liang, R Guiomar, A Mechelli","Can we predict who will benefit from cognitive-behavioural therapy? A systematic review and meta-analysis of machine learning studies",2022,"Clinical Psychology Review","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272735822000782","https://scholar.google.com/scholar?cites=6690654630417411553&as_sdt=2005&sciodt=0,5&hl=en",493,"2023-07-31 18:46:22","","","","",,,,,5,5.00,1,4,1,"… The present review and meta-analysis will focus on studies that used a supervised approach to distinguish patients who responded and did respond (ie binary outcome) to CBT based …","https://www.researchgate.net/profile/Sandra-Vieira-7/publication/362534750_Can_we_predict_who_will_benefit_from_cognitive-behavioural_therapy_A_systematic_review_and_meta-analysis_of_machine_learning_studies/links/6305f90a61e4553b953414cd/Can-we-predict-who-will-benefit-from-cognitive-behavioural-therapy-A-systematic-review-and-meta-analysis-of-machine-learning-studies.pdf","https://scholar.google.com/scholar?q=related:4S3aEPD62VwJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
6,"V Emslander, R Scherer","The relation between executive functions and math intelligence in preschool children: A systematic review and meta-analysis.",2022,"Psychological Bulletin","psycnet.apa.org","https://psycnet.apa.org/record/2023-15405-002","https://scholar.google.com/scholar?cites=11602206180892534104&as_sdt=2005&sciodt=0,5&hl=en",509,"2023-07-31 18:46:22","","","","",,,,,6,6.00,3,2,1,"… NP Allan et al.’s (2014)meta-analysis, hinting at a variety of executive function dimensions that … For the purpose of this meta-analysis, we further describe the EF framework proposed by …","https://psycnet.apa.org/journals/bul/148/5-6/337.pdf","https://scholar.google.com/scholar?q=related:WOXw5gxRA6EJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
22,"Q Jia, Y Qu, H Sun, H Huo, H Yin, D You","Mental health among medical students during COVID-19: A systematic review and meta-analysis",2022,"Frontiers in Psychology","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpsyg.2022.846789/full","https://scholar.google.com/scholar?cites=9818752021200382207&as_sdt=2005&sciodt=0,5&hl=en",515,"2023-07-31 18:46:22","HTML","10.3389/fpsyg.2022.846789","","",,,,,22,22.00,4,6,1,"… students worldwide, we conducted this meta-analysis. … publication bias were also carried out in this meta-analysis. … In conclusion, this systematic review and meta-analysis reported a …","https://www.frontiersin.org/articles/10.3389/fpsyg.2022.846789/full","https://scholar.google.com/scholar?q=related:_yhM-fA2Q4gJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
16,"AP Gutierrez de Blume","Calibrating calibration: A meta-analysis of learning strategy instruction interventions to improve metacognitive monitoring accuracy.",2022,"Journal of Educational Psychology","psycnet.apa.org","https://psycnet.apa.org/journals/edu/114/4/681/","https://scholar.google.com/scholar?cites=16431091687583674732&as_sdt=2005&sciodt=0,5&hl=en",520,"2023-07-31 18:46:22","","","","",,,,,16,16.00,16,1,1,"… to answer the research questions of this meta-analysis. Next is a more detailed explanation of the coding schemes for the various moderators used in the present meta-analysis. …","","https://scholar.google.com/scholar?q=related:bHFMjtX2BuQJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
5,"GK Khazanov, PE Morris, A Beed…","Do financial incentives increase mental health treatment engagement? A meta-analysis.",2022,"… Clinical Psychology","psycnet.apa.org","https://psycnet.apa.org/journals/ccp/90/6/528/","https://scholar.google.com/scholar?cites=8635336187201920830&as_sdt=2005&sciodt=0,5&hl=en",525,"2023-07-31 18:46:22","","","","",,,,,5,5.00,1,4,1,"… Several meta-… meta-analysis is the first to evaluate the efficacy of providing financial incentives specifically for mental health treatment engagement. Moreover, no previous meta-analysis …","","https://scholar.google.com/scholar?q=related:Ph8_ooLg1ncJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
8,"M Yuan, G Spadaro, S Jin, J Wu, Y Kou…","Did cooperation among strangers decline in the United States? A cross-temporal meta-analysis of social dilemmas (1956–2017).",2022,"Psychological …","psycnet.apa.org","https://psycnet.apa.org/record/2022-80213-001","https://scholar.google.com/scholar?cites=5756166856871973190&as_sdt=2005&sciodt=0,5&hl=en",529,"2023-07-31 18:46:22","","","","",,,,,8,8.00,1,6,1,"… To illustrate, all studies included in this meta-analysis involved a social interaction in a situation with conflicting interests among people who have no interaction history, reputational …","https://www.apa.org/pubs/journals/releases/bul-bul0000363.pdf","https://scholar.google.com/scholar?q=related:RhG7Q0ID4k8J:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
